Paper ,DV,IV,EyeTracker,ES,N,Domain
kim et al. 2012,FC,pref.view,EyeLink II,0.61,24,Risky Gamble
Bialkova et al. 2014 Study 1 ,FC,Task,SMI RED,0.35,80,inf consumer choice
Cavanagh et al. 2014,TFD,Choice.bias,EyeLink 1000,0.7387612,20,Risky Gamble
Paernamets et al. 2016 Study 1,TFD,Task,SMI RED,0.489897948556636,58,pref. Non-consumer choice
Guyader et al. 2016,TFD,Task,SMI Glasses,0.472801415647384,66,inf. Consumer choice
Pieters & Warlop 1999,fix.like ,Task,NA,0.053028954003499,54,pref. Consumer choice
Braendstaatter & Koerner 2014,FC,Choice.bias,EyeLink II,0.774596669241483,80,Risky Gamble
Van der Laan et al. 2017,TFD,Pref.view,Easygaze,0.254251218375118,125,pref. Consumer choice
Van der Laan et al. 2015,TFD,Choice.bias,Easygaze,0.438175243107747,22,inf. Consumer choice
Graham & Roberto 2016,fix.like,Size,EyeLink 1000,0.11,155,pref. Consumer choice
Huang & Kuo 2011,fix.like,Task,EyeLink II,0.229563157512554,88,pref. Non-consumer choice
Krajbich et al. 2010,TFD,Choice.bias,Tobii T2150,0.917651033793252,39,pref. Consumer choice
Hwang & Lee 2017,TFD,Task,Tobii X2,0.122015015879562,42,inf. Consumer choice
Keller et al. 2014,fix.count,Task,SMI iview,0.39,159,inf. Non-consumer choice
Kreplin et al. 2014 a,fix.count,LR.position,ASL6000,0.4,19,pref. Non-consumer choice
Kreplin et al. 2014 b,TFD,LR.position,ASL6000,0.27,19,pref. Non-consumer choice
Lohse 1997 a,fix.like,Salience,NA,0.08,32,pref. Consumer choice
Lohse 1997 b,TFD,Size,NA,0.17,32,pref. Consumer choice
Glaholt et al. 2009,TFD,Choice.bias,EyeLink 1000,0.735,16,pref. Consumer choice
Nittono & Wada 2009 Study 1,TFD,Task,NA,0.1,10,pref. Non-consumer choice
