Group,$k$,$N$,$\rho$,SE,$Z$,$p$,$\textrm{CI}_{95}$ LL,$\textrm{CI}_{95}$ UL,$I^2$
\textbf{Set size},NA,NA,NA,NA,NA,NA,NA,NA,NA
\hspace{2mm}\textit{Alternative},6,281,0.5,0.01,48.55,<0.001,0.45,0.54,0
NA,(1),NA,(0.51),(0.07),(7.85),(<0.001),(0.39),(0.64),NA
\hspace{2mm}\textit{Attribute},7,726,0.14,0.05,2.88,0.035,0.02,0.27,30.38
NA,(0),NA,(0.14),(0.06),(2.51),(0.012),(0.03),(0.26),NA
\textbf{Task instruction},NA,NA,NA,NA,NA,NA,NA,NA,NA
\hspace{2mm}\textit{Alternative},12,787,0.39,0.08,4.79,0.001,0.2,0.57,10.85
NA,(1),NA,(0.36),(0.08),(4.67),(<0.001),(0.21),(0.51),NA
\hspace{2mm}\textit{Attribute},16,1273,0.34,0.06,5.32,<0.001,0.2,0.48,64.64
NA,(2),NA,(0.32),(0.08),(4.15),(<0.001),(0.17),(0.47),NA
\textbf{Preferential viewing},NA,NA,NA,NA,NA,NA,NA,NA,NA
\hspace{2mm}\textit{Alternative},7,600,0.61,0.19,3.17,0.034,0.08,1.13,76.81
NA,(3),NA,(0.38),(0.15),(2.53),(0.011),(0.09),(0.67),NA
\hspace{2mm}\textit{Attribute},17,2033,0.31,0.08,3.95,0.002,0.14,0.47,77.03
NA,(0),NA,(0.31),(0.07),(4.31),(<0.001),(0.17),(0.45),NA
